query,iter,exec_ms
10a,1,1500.705
10b,1,667.360
10c,1,7167.857
11a,1,79.809
11b,1,32.344
11c,1,199.258
11d,1,178.584
12a,1,554.746
12b,1,0.923
12c,1,2048.020
13a,1,3717.660
13b,1,1335.222
13c,1,1285.855
13d,1,6356.416
14a,1,385.293
14b,1,152.973
14c,1,672.666
15a,1,737.464
15b,1,38.276
15c,1,1977.286
15d,1,2184.419
16a,1,230.760
16b,1,25854.793
16c,1,2196.160
16d,1,1761.476
17a,1,16967.396
17b,1,12578.506
17c,1,12214.660
17d,1,12371.919
17e,1,17968.155
17f,1,16177.744
18a,1,13488.231
18b,1,370.672
18c,1,17121.648
19a,1,768.371
19b,1,323.624
19c,1,2671.530
19d,1,17568.113
1a,1,8.991
1b,1,0.252
1c,1,4.106
1d,1,0.203
20a,1,4989.034
20b,1,3510.337
20c,1,1897.158
21a,1,105.627
21b,1,71.290
21c,1,77.041
22a,1,585.386
22b,1,376.784
22c,1,2755.251
22d,1,1031.738
23a,1,306.955
23b,1,64.814
23c,1,351.286
24a,1,651.125
24b,1,38.310
25a,1,4089.186
25b,1,473.588
25c,1,13870.443
26a,1,36507.530
26b,1,140.623
26c,1,6760.767
27a,1,30.920
27b,1,11.598
27c,1,71.161
28a,1,1133.525
28b,1,925.609
28c,1,678.038
29a,1,27.713
29b,1,15.732
29c,1,1326.350
2a,1,719.030
2b,1,699.338
2c,1,664.536
2d,1,898.867
30a,1,1245.229
30b,1,616.022
30c,1,6611.793
31a,1,10224.109
31b,1,623.411
31c,1,15617.656
32a,1,13.284
32b,1,159.260
33a,1,58.719
33b,1,65.333
33c,1,147.335
3a,1,170.061
3b,1,102.775
3c,1,302.746
4a,1,135.139
4b,1,74.150
4c,1,113.063
5a,1,246.908
5b,1,215.694
5c,1,247.795
6a,1,29.721
6b,1,294.837
6c,1,12.617
6d,1,9458.101
6e,1,21.229
6f,1,10126.283
7a,1,1304.733
7b,1,322.059
7c,1,4904.690
8a,1,4360.641
8b,1,444.323
8c,1,8970.557
8d,1,3714.603
9a,1,763.324
9b,1,691.373
9c,1,3046.544
9d,1,5428.669
