query,iter,exec_ms
10a,1,1277.711
10b,1,344.705
10c,1,22223.007
11a,1,196.006
11b,1,68.933
11c,1,379.958
11d,1,340.460
12a,1,573.224
12b,1,105.739
12c,1,1567.255
13a,1,2216.359
13b,1,883.116
13c,1,843.283
13d,1,3630.602
14a,1,715.110
14b,1,240.674
14c,1,1169.951
15a,1,459.951
15b,1,64.727
15c,1,1018.092
15d,1,1148.797
16a,1,449.240
16b,1,42171.750
16c,1,3531.226
16d,1,2764.049
17a,1,33817.949
17b,1,21662.442
17c,1,20917.222
17d,1,22238.201
17e,1,30094.572
17f,1,28908.023
18a,1,9204.959
18b,1,475.545
18c,1,10900.786
19a,1,465.597
19b,1,223.791
19c,1,4875.432
19d,1,12428.796
1a,1,112.379
1b,1,96.502
1c,1,100.574
1d,1,95.458
20a,1,11420.635
20b,1,6067.159
20c,1,3544.787
21a,1,196.595
21b,1,143.857
21c,1,159.125
22a,1,1326.413
22b,1,610.460
22c,1,4802.984
22d,1,2058.686
23a,1,405.492
23b,1,184.292
23c,1,524.398
24a,1,1388.765
24b,1,184.030
25a,1,6163.505
25b,1,335.080
25c,1,23020.774
26a,1,56251.406
26b,1,361.071
26c,1,12996.698
27a,1,199.913
27b,1,156.942
27c,1,195.043
28a,1,2044.853
28b,1,1121.274
28c,1,1128.018
29a,1,258.160
29b,1,232.676
29c,1,3396.426
2a,1,1401.599
2b,1,1081.250
2c,1,1013.485
2d,1,1410.709
30a,1,7332.292
30b,1,585.213
30c,1,13588.220
31a,1,8617.084
31b,1,510.591
31c,1,25340.567
32a,1,27.371
32b,1,298.872
33a,1,261.559
33b,1,203.163
33c,1,235.789
3a,1,327.978
3b,1,166.319
3c,1,610.559
4a,1,218.648
4b,1,233.266
4c,1,218.826
5a,1,218.083
5b,1,203.862
5c,1,292.233
6a,1,87.709
6b,1,462.011
6c,1,25.846
6d,1,18859.047
6e,1,42.326
6f,1,17799.561
7a,1,2821.080
7b,1,528.473
7c,1,8074.455
8a,1,3047.456
8b,1,254.383
8c,1,6159.842
8d,1,1992.027
9a,1,433.909
9b,1,380.096
9c,1,6289.257
9d,1,9933.367
